Ticker,Return_Strategy,Sharpe_Strategy,DD_Strategy,Vol_Strategy,Return_BH,Sharpe_BH,DD_BH,Vol_BH
META,42.2746203619523,0.9499081581187581,-0.4373423219558892,0.3616111318735823,7.687675820068634,0.5168716738252116,-0.767360925844151,0.3784876015925447
NVDA,7.09505750103888,0.4150101849434553,-0.696551046279486,0.4594206028827373,393.9430796090202,1.1237471454654198,-0.663350995583254,0.48368714428368775
GOOGL,6.624523270678858,0.6730456719973127,-0.4226336546470663,0.27517372159519693,11.175004833141964,0.7854836709545868,-0.4432005578212285,0.28787424690491836
SPY,1.9422795670304294,0.5689672715846237,-0.3758981038113468,0.17293025171225998,3.1013365139566442,0.7122431919049584,-0.33717271363429985,0.17832524221656043
AAPL,1.9156183856830977,0.35263077136855997,-0.4280702281417815,0.2766682531031518,10.59342255420682,0.7660542102410061,-0.38515926020439,0.2882387122381779
DIA,1.8782902161394,0.5736883197881326,-0.24517284376958004,0.16801272956127977,2.458386196869546,0.6391345148298562,-0.3669608433571269,0.17449265543890538
XLF,1.8122783951842556,0.4418651691708097,-0.2656538217088162,0.21334926939670032,2.4456320047502444,0.5042775446164146,-0.4286252499682487,0.21982403166388712
XLK,1.3601645041165762,0.3403122339240267,-0.3393697361575457,0.23006059784633448,7.155194292759978,0.7998332781339945,-0.33559071000332485,0.23747012093452927
AMZN,1.2700621535251373,0.2405780973823608,-0.706753336300566,0.3106834723972729,14.389655503889609,0.7539088111106061,-0.5614526325328262,0.3280861166509939
QQQ,1.2504678331862786,0.3473230257159208,-0.30588521493239534,0.21292356963063086,5.632433421026689,0.7773630278414199,-0.35118720871785325,0.22016478891512403
MSFT,0.20540460586675535,0.06685090099857378,-0.5868471565957576,0.25478135294725357,11.343789464145411,0.8497436753265198,-0.371485017812675,0.268654493904492
XLV,0.015744922075548118,0.008707646149555246,-0.34278671949012685,0.16357069500989932,1.7312170370292734,0.541675528789388,-0.2840433177031345,0.16825366139806408
IWM,-0.19826785258293234,-0.09146923093810097,-0.6049883664886627,0.22026314427053556,1.4414030864748826,0.3542096756282771,-0.4113329137152458,0.22628050622037893
TSLA,-0.45235235319332046,-0.10479936205746332,-0.7265001486420577,0.5238286032721159,31.445381035661605,0.5440285977846021,-0.7363221744219125,0.575931376264598
XLE,-0.7724157886881331,-0.4758930211082857,-0.8334709643555962,0.28358536870122764,0.8238458569475364,0.17235386960715013,-0.6681303871508275,0.29554219394577536
