Date,Close,High,Low,Open,Volume
2015-01-02,102.78697967529297,104.19572846977661,101.88814378281594,103.7722407010473,46133100
2015-01-05,101.4128189086914,102.59686394686796,100.9374772697832,102.18202057450503,51141900
2015-01-06,99.65835571289062,101.78444598263663,98.8373069244196,101.65481155884777,67446000
2015-01-07,100.88561248779297,100.91153937150938,99.8052817075039,100.30655017825802,32252100
2015-01-08,102.59685516357422,102.7178516863063,101.50787986516956,101.68938124308362,28361700
2015-01-09,101.611572265625,102.70918522819204,101.3868616598295,102.68325834941075,26975200
2015-01-12,101.27450561523438,101.99184667071216,100.45345704876702,101.72392021508914,27316800
2015-01-13,101.35228729248047,103.1845302666695,100.09910650047648,102.06098386473779,49991400
2015-01-14,100.94609069824219,101.20536607772588,99.8657601325239,100.23739411088359,34224200
2015-01-15,99.24351501464844,101.44738599741589,98.94102369471757,101.31775157017141,46199400
2015-01-16,100.85967254638672,101.06710079045598,98.69901112428062,98.88051248629506,41895700
2015-01-20,100.43619537353516,101.18810800170503,99.52872143658813,100.98932422857412,36444400
2015-01-21,100.11641693115234,100.96339921515126,99.64107531550748,100.08185214666081,27333500
2015-01-22,102.15604400634766,102.19061537176566,99.47682582768226,100.73865099327786,37877000
2015-01-23,102.08694458007812,102.64871133714595,101.59431398489416,102.19065211981194,28173400
2015-01-26,103.07218933105469,103.08082722877741,101.17944790699998,101.87950006381361,23006800
2015-01-27,102.57953643798828,103.06352235748737,101.65477385962333,101.86219545457814,26919100
2015-01-28,100.85103607177734,103.2364015679053,100.53125580301834,103.00305303230284,38086100
2015-01-29,102.24248504638672,102.25976743376587,100.33245484718105,101.1362210335054,39299900
2015-01-30,99.99541473388672,101.94865463771256,99.9089895899261,101.53381130917528,49739800
2015-02-02,100.91150665283203,100.98064278905443,98.85455329404837,100.35837800017096,44819100
2015-02-03,102.71784210205078,102.84748310540049,101.35230250855582,101.40416286618492,43920000
2015-02-04,102.33757019042969,103.05490476726517,102.06964369178961,102.34620808852283,28597100
2015-02-05,103.65988159179688,103.9278014647623,102.50176378494444,102.64868716084067,32337100
2015-02-06,103.54753875732422,104.42044784235411,103.14997783587881,103.79817628050371,31694900
2015-02-09,102.72647094726562,103.90187110265967,102.6054744542528,103.19317453194982,32367900
2015-02-10,103.38331604003906,103.57344868052414,102.06963038150458,103.3055288106372,28960800
2015-02-11,103.23639678955078,103.55617704350857,102.51906223178815,103.16726063756721,23794200
2015-02-12,104.41180419921875,104.50687383270875,103.57346648234282,103.85003748436142,27854600
2015-02-13,105.03407287597656,105.17235837318074,104.27352242279983,104.49823305884891,20446900
2015-02-17,105.36249542236328,105.49212983100065,104.80072214094525,105.1464292828806,16868500
2015-02-18,105.474853515625,105.48349800797044,104.68836955758155,105.06000360264751,20450200
2015-02-19,105.4834976196289,105.76869992782179,105.0427208250535,105.23286009305919,16620500
2015-02-20,105.7686996459961,105.9069851473829,104.4895917272462,105.31064046182962,30331600
2015-02-23,105.87240600585938,105.89833288701365,104.80935772182801,105.526698871567,25778200
2015-02-24,106.01068878173828,106.34775141574063,105.60448340388545,105.84647641354714,20023600
2015-02-25,106.13167572021484,106.339097339255,105.63904525386047,105.93289199801616,17059600
2015-02-26,106.52059173583984,106.56380759516512,105.72547003724395,106.03660576170572,24379000
2015-02-27,105.94155883789062,106.61568418734406,105.91563195426792,106.33047527986275,23821700
2015-03-02,106.71073150634766,106.97865137283887,105.89832082238797,105.91560980373124,29683500
2015-03-03,106.07984161376953,106.46876466372882,105.66499827305883,106.46876466372882,23068400
2015-03-04,105.75141143798828,105.96747757665794,105.10321302197927,105.62177043602343,22822500
2015-03-05,106.06254577636719,106.23539604744828,105.36249360652903,105.89833340316952,19725600
2015-03-06,104.72291564941406,106.03660122849391,104.47227818243417,105.42297429643172,37319900
2015-03-09,105.1810073852539,105.37114666709284,104.6797388894612,104.89580505631162,17556300
2015-03-10,103.97105407714844,104.3167547087936,103.56484858176681,104.23897404481849,32440300
2015-03-11,104.610595703125,104.69702085074634,103.60804552803242,104.11796510848568,20914500
2015-03-12,106.34774780273438,106.43417293270382,105.215556840546,105.28469958204745,41063300
2015-03-13,105.96746063232422,106.468735576399,104.75748913048702,106.25266947227858,26371000
