Date,Close,High,Low,Open,Volume
2015-01-02,170.12498474121094,171.32579919572484,169.08980858140774,170.91172873180355,121465900
2015-01-05,167.05259704589844,169.2471655561333,166.7461889314505,169.0815398898487,169632600
2015-01-06,165.47911071777344,167.88071412827958,164.68408994172034,167.35898134910641,209151400
2015-01-07,167.54122924804688,167.8807701425897,166.35699350286723,166.80418415106138,125346700
2015-01-08,170.51425170898438,170.72957648769642,168.93251177202868,168.9490654962137,147217800
2015-01-09,169.14781188964844,170.94487647756347,168.53498295474012,170.92831011812547,158567300
2015-01-12,167.82273864746094,169.43762341842782,167.21819936354106,169.2802746346781,144396100
2015-01-13,167.35073852539062,170.1664129335598,166.05055106093315,169.0401406430063,214553300
2015-01-14,166.3404083251953,166.53916672214785,164.4439709204368,165.3383521156499,192991100
2015-01-15,164.8166046142578,167.29273780529536,164.70066539430715,166.97805285767345,176613900
2015-01-16,166.97808837890625,167.13543720440362,164.42741236095966,164.60960440770086,211879600
2015-01-20,167.3341827392578,167.88075887871344,165.76899662094755,167.61574767057863,130991100
2015-01-21,168.17889404296875,168.65921739145298,166.40667261614846,166.87042960463523,122942700
2015-01-22,170.67982482910156,170.81231775411237,167.55773045853948,168.93244722648654,174356000
2015-01-23,169.7440185546875,170.67982169003744,169.61151299568783,170.42308743081597,117516800
2015-01-26,170.1416015625,170.23269759703916,168.81658326680397,169.528785181447,92009700
2015-01-27,167.8972930908203,169.04011895690113,167.06915217860907,168.0877619624292,134044600
2015-01-28,165.74412536621094,169.18090517407325,165.55365649034815,169.08153230604532,168514300
2015-01-29,167.27621459960938,167.53293630229993,164.53505711997988,165.9429070087455,173585400
2015-01-30,165.17271423339844,167.42525868672465,164.9077156934692,166.1002407142217,197729700
2015-02-02,167.21817016601562,167.30926614931067,163.85592091491122,165.6695510864243,163107000
2015-02-03,169.63638305664062,169.64467255315608,167.7399459094598,168.11260679625465,124212900
2015-02-04,168.9904327392578,170.0835848102543,168.53495270967596,168.87449351685765,134306700
2015-02-05,170.69638061523438,170.84545253276332,169.57839809768427,169.65292773823575,97953200
2015-02-06,170.22438049316406,171.62394076730268,169.70264763355704,171.06079833152506,125672000
2015-02-09,169.4625244140625,170.2989424108796,169.05673070900008,169.57846366744735,87219000
2015-02-10,171.2678680419922,171.5245897749129,169.50392336086054,170.49770284322997,96164200
2015-02-11,171.36721801757812,171.79785489325087,170.45627046247458,171.10221945776905,91087800
2015-02-12,173.01524353027344,173.07321947491621,171.40037085250046,172.16225917646435,97545900
2015-02-13,173.7274627685547,173.7771492195388,172.88275519252807,173.13948958333293,93670400
2015-02-17,174.00070190429688,174.1746170702164,173.1642840631735,173.41271624816068,76968200
2015-02-18,174.01727294921875,174.09180260672233,173.3630344806547,173.62804566701706,80652900
2015-02-19,173.89300537109375,174.25738935272804,173.28018925327794,173.42097167592283,91462500
2015-02-20,174.9365234375,175.01105310074223,172.8578812732589,173.4789870731372,140896400
2015-02-23,174.91160583496094,174.91160583496094,174.30705401526993,174.68800430389132,74411100
2015-02-24,175.40853881835938,175.60729720252223,174.538988262736,174.83711952076607,72472300
