Date,Close,High,Low,Open,Volume
2015-01-02,141.716064453125,142.74344879151678,140.95149003775353,142.2815201878025,4997200
2015-01-05,139.24710083007812,141.13463846851502,138.94446725309888,141.01516729254092,6700200
2015-01-06,138.0923614501953,139.8046732058568,137.24019159283168,139.4542558272923,10131400
2015-01-07,139.84432983398438,140.0036124798018,138.7691628603516,139.25498282921123,5547000
2015-01-08,142.36912536621094,142.52842030832684,141.13467463229784,141.17448621532893,7166700
2015-01-09,141.1426544189453,142.6080757340462,140.6727658699455,142.54436017871578,6646600
2015-01-12,140.36219787597656,141.46923012345846,139.7409862350876,141.3179071579209,4305300
2015-01-13,140.1550750732422,142.58417734094863,139.13565053999145,141.5408609946138,9913500
2015-01-14,138.6259307861328,139.15157495059034,137.31979241391912,138.13215047239908,11090600
2015-01-15,137.82943725585938,139.43822066077914,137.6303308199408,139.1674388245281,9293700
2015-01-16,139.2307586669922,139.46989333772285,137.19813221012362,137.55684029766687,8721900
2015-01-20,139.4141845703125,139.98013660294563,138.011278866588,139.67723167030513,7224100
2015-01-21,139.77281188964844,140.0916500402289,138.42569820208874,138.89598873120846,6259300
2015-01-22,141.82142639160156,141.99679109061861,139.10328571973778,140.22721070082875,9565100
2015-01-23,140.6177215576172,141.7416459283319,140.60177600375698,141.6539636264415,4795300
2015-01-26,140.68954467773438,140.8569426888009,139.79678771978314,140.41853091019937,3730400
2015-01-27,138.36988830566406,139.29453592676202,137.57278080393723,138.2981515496035,11565100
2015-01-28,136.8793487548828,139.18298974920512,136.7757208515062,139.13516522853882,9673200
2015-01-29,138.61708068847656,138.7525997560874,136.3532968164731,137.23012050917322,9615200
2015-01-30,136.66415405273438,138.65692390524697,136.5206804615464,138.0590929494932,11138500
2015-02-02,138.11485290527344,138.24238089192016,135.58802298654496,137.0626649158758,9437900
2015-02-03,140.55401611328125,140.60980733309665,138.77646917194235,138.80038143227745,7543400
2015-02-04,140.71337890625,141.54237747566762,140.11554831139665,140.13149386620324,5935900
2015-02-05,142.3236083984375,142.39534518551292,141.15982559108974,141.31127802796038,6037800
2015-02-06,141.9568634033203,142.9691932743666,141.4706273704141,142.53876060136668,7211900
2015-02-09,141.15975952148438,141.83730573891793,140.83294253835078,141.2314962749835,3723100
2015-02-10,142.29164123535156,142.48295139488724,141.199607961542,142.02062763151318,3572700
2015-02-11,142.443115234375,142.75398668904614,141.62209543965645,141.9568791475411,5174500
2015-02-12,143.351806640625,143.42354339490865,142.68223927485454,142.8974617006004,3742700
2015-02-13,143.75038146972656,143.90980055693078,143.28805760280667,143.47936780518975,3998200
2015-02-17,143.93370056152344,144.03731626103826,143.24818765621126,143.5271679707753,2850900
2015-02-18,143.85400390625,144.02138968446664,143.45545012187247,143.62283590008914,2724800
2015-02-19,143.5510711669922,143.82208476846665,143.02497735502845,143.3757065630043,2663500
2015-02-20,144.78195190429688,144.82990687653916,142.67184775310244,143.19137621382887,8914600
2015-02-23,144.60621643066406,144.60621643066406,144.12665415547585,144.43837390297807,2738600
2015-02-24,145.39744567871094,145.51733314491503,144.58217432028326,144.6940733541004,4228700
2015-02-25,145.43734741210938,145.6051897899886,145.1176273179295,145.31744780326397,2822900
2015-02-26,145.47738647460938,145.66123020935663,144.9898237186063,145.40545398505523,3045800
2015-02-27,144.82200622558594,145.42146813411102,144.79002809399103,145.4134675031704,3161300
2015-03-02,146.01287841796875,146.01287841796875,144.96582060146082,144.96582060146082,3213100
2015-03-03,145.36550903320312,145.78113936143302,144.8220027698962,145.6532512302725,2825800
2015-03-04,144.49429321289062,144.99784510401435,143.97476445252227,144.99784510401435,3820200
2015-03-05,144.80596923828125,145.02976730104774,144.438306219199,144.8699132842259,2410700
2015-03-06,142.5919647216797,144.37437312285914,142.37616727083963,143.96673132355556,7297400
2015-03-09,143.71095275878906,144.02267235228425,142.69586087388763,142.69586087388763,3844900
2015-03-10,141.2251739501953,142.679861213067,141.2171733227005,142.57596282034092,6070100
2015-03-11,140.95339965820312,141.70471456854827,140.8574775152902,141.45693907517017,5584600
2015-03-12,143.04757690429688,143.08754346485446,141.63284359391625,141.6648217207951,4024300
2015-03-13,141.92059326171875,142.67192073404436,140.8895242428583,142.58399917460025,6833900
2015-03-16,143.69497680664062,143.7988874126443,142.47207581321504,142.47207581321504,5550100
2015-03-17,142.67189025878906,143.0475539147087,142.16035007567638,142.90367675904074,5392900
2015-03-18,144.45433044433594,144.67812858047677,141.44903247609943,142.2003600171795,11294400
2015-03-19,143.59912109375,144.18259400224417,143.31936729313884,144.01473928266043,6229200
2015-03-20,144.88894653320312,145.4574142064858,144.25641171015272,144.48861236775878,5999200
2015-03-23,144.80091857910156,145.5215154191809,144.79290407421715,144.96104985275997,3593900
2015-03-24,143.98416137695312,145.0730705987724,143.93612324054192,144.6407029366177,4692100
2015-03-25,141.6541748046875,144.24834340771076,141.62215346168782,144.08019775959758,8474700
2015-03-26,141.302001953125,141.95855611979226,140.48532871484738,141.03777982877605,6604500
2015-03-27,141.56607055664062,141.69418033568175,140.89351254250607,141.18175343673815,3971800
2015-03-30,143.6317901611328,143.9280333252631,142.74304845152142,142.76706750714166,5399300
2015-03-31,142.18267822265625,143.383680673016,142.06257064728305,142.9353083796383,4633800
2015-04-01,141.51014709472656,142.15067208475986,140.57336646871025,142.15067208475986,7440500
2015-04-02,141.98243713378906,142.44682597191508,141.26182870888087,141.47801245807557,3223600
2015-04-06,142.99136352539062,143.45575265339542,140.98969256876475,141.1738550931799,6284900
2015-04-07,142.85520935058594,143.78398733342826,142.85520935058594,143.1354480889832,6011600
2015-04-08,143.1195068359375,143.7680464226466,142.4869840414478,142.99941143737388,4738500
2015-04-09,143.639892578125,143.82405508922866,142.50294502300898,143.04740583681652,4483800
2015-04-10,144.41661071777344,144.4726633915151,143.4638130020441,143.85614506653116,3463600
2015-04-13,143.83201599121094,144.8088320437698,143.7119206639396,144.25636910387047,3358200
2015-04-14,144.264404296875,144.5526453653067,143.15949038224386,143.78401066097445,4811400
2015-04-15,144.82492065429688,145.22525490005313,144.48062684998607,144.78488478627494,4377800
2015-04-16,144.8489227294922,145.32931643767276,144.4645931022715,144.65675791588185,3873900
2015-04-17,142.5639190673828,143.74167073750704,141.9389911067296,143.62950449393347,8683500
2015-04-20,144.23841857910156,144.7031108384559,143.53336656832877,143.66156006577924,5355800
2015-04-21,143.62149047851562,144.9194281774903,143.38915047372126,144.77520744418015,3596600
2015-04-22,144.26251220703125,144.41474051922933,143.052717672273,143.93402082020484,5575200
2015-04-23,144.5107421875,145.07158537825725,143.5733506682373,143.76564081008536,4893000
2015-04-24,144.6470184326172,144.8713631608471,144.04612517982676,144.61497617155834,4010000
2015-04-27,144.35057067871094,145.44819835814081,144.18232742685856,145.3841138409042,4969100
2015-04-28,144.88735961914062,144.96748359933085,143.31703229911707,144.50279140967405,4534200
2015-04-29,144.2703399658203,144.7831012573565,143.60535056465417,144.05401516659916,6559400
